Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-1179.388	-1305.281	125.8927	1.199402	0.5272143	1.48822
6	-1172.512	-1298.402	125.8898	1.07632	0.5112379	1.600406
12	-1178.216	-1303.954	125.7382	1.151196	0.559905	1.600406
18	-1179.506	-1305.94	126.4345	1.141429	0.36662	1.337022
24	-1187.893	-1313.615	125.7219	1.144291	0.6408743	1.530965
30	-1176.162	-1302.435	126.2733	1.004794	0.4338642	1.467769
36	-1177.828	-1304.523	126.6948	1.077551	0.2807628	1.332748
42	-1174.801	-1300.698	125.8978	1.311153	0.6788629	1.220408
48	-1169.314	-1295.726	126.4115	1.320223	0.4163168	1.123557
54	-1169.542	-1295.863	126.3208	1.445828	0.4897665	0.9648874
60	-1170.196	-1296.797	126.6006	1.383121	0.3479274	1.014597
66	-1177.465	-1304.122	126.6576	1.343548	0.3616394	0.9681777
72	-1166.228	-1292.296	126.0676	1.415885	0.3717274	1.401654
78	-1170.274	-1296.087	125.8136	1.252253	0.6742218	1.342895
84	-1161.882	-1287.874	125.9917	1.300003	0.5087966	1.357198
90	-1170.625	-1296.109	125.4843	1.105292	0.9122717	1.491466
96	-1178.732	-1305.191	126.4595	1.2285	0.3544955	1.266383
102	-1176.47	-1302.764	126.2941	1.37295	0.581444	0.9167675
108	-1169.035	-1295.367	126.3321	1.319654	0.4560518	1.130469
114	-1172.068	-1298.691	126.6232	1.330609	0.4079613	0.9210494
120	-1177.215	-1303.67	126.4551	1.315428	0.5123302	0.9210494
126	-1185.679	-1312.263	126.5843	1.343256	0.3358141	1.092744
132	-1196.329	-1322.712	126.3833	1.204274	0.4197479	1.242849
138	-1186.784	-1313.102	126.3178	1.396687	0.3553587	1.242849
144	-1182.16	-1308.332	126.1719	1.227864	0.5827274	1.172422
150	-1175.692	-1302.021	126.3294	1.311769	0.4017317	1.226505
156	-1178.25	-1304.851	126.6004	1.257993	0.327963	1.170126
162	-1185.025	-1311.526	126.5012	1.113413	0.4516923	1.170126
168	-1183.682	-1310.173	126.4907	1.303178	0.4097746	1.077858
174	-1183.916	-1310.58	126.6641	1.283613	0.3440531	1.05736
180	-1194.987	-1321.134	126.1468	1.006085	0.3722842	1.647097
186	-1193.353	-1319.474	126.121	0.8553694	0.3557021	1.795518
192	-1187.732	-1313.262	125.5299	0.8936398	0.3461633	2.178692
198	-1178.167	-1304.237	126.0704	1.024011	0.3276469	1.755183
204	-1167.356	-1293.261	125.9047	1.148105	0.4373312	1.62952
210	-1168.046	-1294.412	126.3665	0.9815941	0.2939827	1.62952
216	-1168.225	-1294.427	126.2024	0.8886705	0.2952589	1.808681
222	-1176.967	-1302.754	125.7871	0.9497033	0.329225	1.99674
228	-1175.646	-1301.438	125.7922	0.944403	0.3940217	1.906896
234	-1171.597	-1297.382	125.7857	0.95094	0.3940217	1.906896
240	-1175.435	-1300.708	125.2728	0.7735882	0.6117763	2.125357
246	-1174.975	-1301.459	126.4837	1.080063	0.3554884	1.364922
252	-1182.844	-1309.047	126.2035	1.041709	0.3910868	1.552726
258	-1186.27	-1311.824	125.5538	0.8362713	0.3763548	2.159926
264	-1185.609	-1311.183	125.5746	1.056599	0.3405197	2.050539
270	-1181.109	-1306.807	125.6981	1.014296	0.5310304	1.758416
276	-1189.656	-1315.799	126.1432	1.040101	0.3004	1.736095
282	-1181.607	-1307.114	125.507	0.9221544	0.4980131	1.988213
288	-1186.38	-1312.788	126.4081	0.8913865	0.321287	1.619405
294	-1179.359	-1305.545	126.1862	0.891755	0.3521029	1.729891
300	-1176.674	-1302.848	126.1745	0.9323913	0.3697856	1.683559
306	-1187.017	-1313.099	126.0819	1.348742	0.5978264	1.125491
312	-1181.24	-1307.07	125.8298	1.473457	0.7613788	1.041224
318	-1177.766	-1304.258	126.4924	1.473522	0.4389315	0.8404906
324	-1184	-1309.882	125.8823	1.767514	0.7632109	0.5078522
330	-1179.122	-1305.087	125.9646	1.716938	0.6654967	0.7488322
336	-1180.74	-1307.087	126.3465	1.548807	0.5024329	0.79004
342	-1171.892	-1298.381	126.4892	1.468539	0.468764	0.7824286
348	-1171.312	-1298.089	126.7775	1.468539	0.3060764	0.8279496
354	-1172.368	-1298.782	126.4134	1.549442	0.4350377	0.8528194
360	-1173.527	-1300.039	126.5121	1.481202	0.4350377	0.8147871
366	-1169.584	-1295.616	126.0325	1.138933	0.581831	1.362315
372	-1163.455	-1289.323	125.8681	1.007786	0.3962978	1.808605
378	-1172.333	-1298.339	126.0064	1.03231	0.4279487	1.65198
384	-1173.534	-1299.976	126.4424	1.208844	0.4490184	1.142078
390	-1170.768	-1296.859	126.0911	0.9789635	0.5547678	1.472306
396	-1165.348	-1291.46	126.1123	0.9097174	0.419483	1.675144
