Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	tree_length
0	-1179.388	-1305.281	125.8927	0.0205391	0.00583784	0.00310278	0.00698116	0.000482498	0.0037961	0.0074232	0.0104026	0.00297421	0.019077	0.0247828	0.00556508	0.000926138	0.0225144	0.0281408	0.00583584	0.00270397	0.00552402	0.00928392	0.00578177	0.00553412	0.00229184	0.0152771	0.00378498	0.00480619	0.00338377	0.0144662	0.0248485	0.00456575	0.00489736	0.0115795	0.0125856	0.00520148	0.00117493	0.00700387	0.0450887	0.00312602	0.00401533	0.0057874	0.00662851	0.125094	0.00958575	0.001513	0.0179097	0.0609683	0.064038	0.0346596	0.00169708	0.00449499	0.0703652	0.0302856	0.158174	0.0170305	0.0786052	0.0380856	0.00205296	0.00813923	0.000446775	0.00591858	0.0343797	0.120648	0.0398108	0.00668552	0.010707	0.0183627	0.0233975	0.0315018	0.0166984	8.70935e-05	0.0157922	0.00164594	0.00304677	0.0189087	0.00160553	0.0211461	0.0150697	0.00193935	0.951097	1.02786	0.190374	0.44531	0.776943	1.2871	2.24563	5.25282	1.199402	0.5272143	0.0138011	0.0039227	0.00208489	0.00469095	0.000324212	0.00255076	0.00498797	0.00698998	0.0019985	0.0128187	0.0166527	0.00373942	0.000622313	0.0151284	0.018909	0.00392136	0.00181692	0.00371183	0.00623827	0.00388503	0.00371862	0.00153999	0.0102653	0.00254329	0.00322949	0.0022737	0.0097205	0.0166968	0.00306793	0.00329075	0.00778075	0.00845679	0.0034951	0.000789489	0.00470621	0.0302971	0.00210051	0.00269808	0.00388881	0.00445399	0.0840561	0.00644108	0.00101665	0.0120343	0.0409673	0.04303	0.0232893	0.00114035	0.00302038	0.0472814	0.0203502	0.106284	0.0114436	0.0528183	0.0255914	0.00137947	0.0054691	0.000300208	0.00397695	0.0231013	0.0810689	0.0267506	0.0044923	0.00719451	0.0123387	0.0157218	0.0211674	0.0112204	5.85219e-05	0.0106115	0.00110598	0.00204726	0.0127056	0.00107883	0.014209	0.010126	0.00130314	1.48822
36	-1177.828	-1304.523	126.6948	0.0282618	0.0216389	0.0114655	0.00904216	0.00384721	0.000669275	0.0021153	0.0070021	0.000120094	0.0120681	0.00209876	0.00631881	0.00284363	0.00245737	0.0137102	0.0152937	0.00124204	0.000792427	0.000714968	0.00507576	0.010127	0.00194382	0.00448407	0.0102163	9.21719e-05	0.00900709	0.0011419	0.00610108	0.0080282	0.00727209	0.00599256	0.00243961	0.000604955	0.00373703	0.00304419	0.0241236	0.00756323	0.0249088	0.0202932	0.0130261	0.00468741	0.0140995	0.013478	0.0235274	0.0556355	0.0153215	0.00806115	0.0118876	0.000761447	0.0446052	0.146564	0.162135	0.0353335	0.000789992	0.000495548	0.00680693	0.020165	0.00673112	0.0315435	0.00142413	0.0295145	0.0262298	0.0496208	0.107758	0.000692778	0.0181768	0.0271819	0.000913814	0.0592451	0.00214292	0.00157014	0.00773608	0.0270797	0.000903764	0.00909249	0.0154777	0.034433	0.60396	1.22565	0.225317	0.483455	0.797122	1.25451	2.06844	4.43819	1.077551	0.2807628	0.0212057	0.0162363	0.00860289	0.0067846	0.00288667	0.000502177	0.00158717	0.00525388	9.01101e-05	0.00905503	0.00157476	0.00474119	0.00213366	0.00184384	0.0102871	0.0114753	0.00093194	0.000594582	0.000536461	0.00380849	0.00759862	0.00145851	0.00336453	0.00766561	6.91593e-05	0.00675828	0.000856802	0.00457782	0.00602379	0.00545646	0.00449639	0.00183051	0.000453916	0.002804	0.00228414	0.0181006	0.00567491	0.0186898	0.0152266	0.00977385	0.0035171	0.0105793	0.010113	0.0176533	0.0417449	0.0114961	0.00604852	0.00891964	0.000571336	0.0334686	0.109971	0.121655	0.0265118	0.000592754	0.000371824	0.00510744	0.0151304	0.00505055	0.023668	0.00106857	0.0221456	0.019681	0.0372319	0.0808537	0.000519812	0.0136386	0.0203954	0.000685662	0.0444534	0.0016079	0.00117812	0.00580461	0.0203187	0.000678121	0.00682236	0.0116133	0.0258361	1.332748
72	-1166.228	-1292.296	126.0676	0.0146834	0.0296666	0.00614492	0.000269236	0.00310464	0.0029165	0.0010725	0.0121853	1.61834e-05	0.0321837	0.00735173	0.00438628	0.00679449	0.00972596	0.0234711	0.00304228	0.000530663	0.00240446	0.00289837	0.00349181	0.00240537	0.0101851	0.00441893	0.00459446	0.00214009	0.0049911	0.00583955	0.0290176	0.00274092	0.0108106	0.0101806	0.00283192	6.35988e-05	0.000891185	0.0036963	0.0376882	0.0118419	0.00257296	0.00411992	0.0110063	0.00938793	0.0170919	0.0174676	0.0329404	0.0703383	0.00816916	0.022757	0.011262	0.000435745	0.0214116	0.106679	0.142533	0.0604832	0.000117822	0.00338192	0.00203825	0.00481346	0.0155859	0.0236901	0.00932777	0.0170851	0.0474742	0.0467885	0.172735	7.77223e-05	0.0162877	0.0230334	0.00872838	0.0519419	0.000937627	0.00217748	0.000406282	0.0205661	0.000170196	0.011189	0.00752322	0.0662433	0.746611	1.14437	0.141118	0.384812	0.742344	1.34708	2.59867	7.08628	1.415885	0.3717274	0.0104758	0.0211654	0.00438405	0.000192084	0.00221498	0.00208076	0.000765169	0.00869354	1.15459e-05	0.0229612	0.00524504	0.00312936	0.00484748	0.00693891	0.0167453	0.00217049	0.000378598	0.00171544	0.00206782	0.00249121	0.0017161	0.00726651	0.00315265	0.00327788	0.00152683	0.00356087	0.00416619	0.0207024	0.00195549	0.00771273	0.00726327	0.00202042	4.53741e-05	0.000635809	0.0026371	0.0268884	0.00844853	0.00183566	0.00293933	0.00785236	0.00669775	0.0121941	0.0124621	0.0235011	0.0501823	0.00582822	0.0162358	0.00803483	0.000310879	0.015276	0.0761091	0.101689	0.0431513	8.40589e-05	0.00241281	0.00145417	0.00343413	0.0111196	0.0169015	0.00665483	0.0121892	0.0338701	0.0333809	0.123237	5.54504e-05	0.0116203	0.016433	0.0062272	0.0370576	0.000668943	0.00155351	0.000289859	0.0146727	0.000121425	0.00798268	0.00536739	0.0472608	1.401654
108	-1169.035	-1295.367	126.3321	0.0165688	0.0102616	0.00381409	0.00750365	0.00343026	0.00440824	0.00135799	0.00960137	0.000789958	0.024747	0.000679433	0.0016737	0.00169431	0.00408028	0.0211394	0.00131394	0.00158881	0.00746426	0.00624782	0.0153607	0.00317572	0.00144157	0.00521068	0.00699054	0.00663432	0.00704361	0.0103696	0.0138939	0.00413101	0.00267517	0.0131764	0.00364515	0.00312707	0.000621009	0.000533359	0.040945	0.00515637	0.00645967	0.00448631	0.00322058	0.00240691	0.0302928	0.0042817	0.0345297	0.0561475	0.00584323	0.00333553	0.0160067	0.00336766	0.0285745	0.0572796	0.161434	0.0210364	0.00499123	0.00631669	0.00486472	0.0367021	0.0239182	0.0156795	0.00239928	0.021669	0.0235578	0.0426297	0.114072	0.00702282	0.00754105	0.0343009	0.000579307	0.0341204	0.00143927	0.000538801	0.00148232	0.00897785	0.00101286	0.00222367	0.00481042	0.0184204	0.862929	1.0781	0.161206	0.410618	0.75753	1.32008	2.43536	6.20325	1.319654	0.4560518	0.0146566	0.00907726	0.0033739	0.00663764	0.00303437	0.00389948	0.00120126	0.00849326	0.000698788	0.0218909	0.000601019	0.00148053	0.00149876	0.00360937	0.0186996	0.0011623	0.00140544	0.0066028	0.00552675	0.0135879	0.0028092	0.0012752	0.00460931	0.00618376	0.00586865	0.0062307	0.00917284	0.0122904	0.00365425	0.00236643	0.0116557	0.00322446	0.00276617	0.000549337	0.000471804	0.0362195	0.00456127	0.00571415	0.00396854	0.00284889	0.00212912	0.0267967	0.00378755	0.0305446	0.0496674	0.00516885	0.00295057	0.0141594	0.002979	0.0252767	0.0506689	0.142803	0.0186086	0.00441518	0.00558767	0.00430328	0.0324662	0.0211578	0.0138699	0.00212237	0.0191682	0.020839	0.0377097	0.100907	0.00621231	0.00667073	0.0303422	0.000512449	0.0301825	0.00127316	0.000476617	0.00131125	0.0079417	0.000895968	0.00196703	0.00425524	0.0162945	1.130469
144	-1182.16	-1308.332	126.1719	0.0195529	0.0174127	0.00605315	0.00257778	6.44966e-05	0.00497407	0.000608046	0.00309539	0.00285742	0.0116405	0.000144557	0.00234781	0.00924524	0.00438417	0.00281616	0.00294237	0.00553454	0.010379	0.00772407	0.00373948	0.00920848	0.00290656	0.00162187	0.0109373	0.00312416	0.00207358	0.0118392	0.0132618	0.00323586	0.00354936	0.00699046	0.00524641	0.00273955	0.00629088	0.00246028	0.026942	0.0220087	0.00363714	0.00708826	0.0145359	0.101374	0.000506494	0.00601064	0.0309654	0.0149254	0.062013	0.0427827	0.000368862	0.000926292	0.0249904	0.0531854	0.0854529	0.0229636	0.108938	0.0352329	0.000129175	0.000621257	0.00472012	0.00536582	0.0349507	0.0741079	0.0265856	0.00151187	0.00420189	0.0153868	0.00264746	0.0357248	0.0160365	0.0030821	0.0104799	0.000332023	0.00414518	0.0167106	0.00312606	0.0334634	0.00298268	0.00768181	1.01437	0.991812	0.183026	0.436843	0.772304	1.29483	2.28915	5.46371	1.227864	0.5827274	0.0166773	0.0148519	0.00516295	0.00219868	5.50115e-05	0.00424256	0.000518624	0.00264016	0.0024372	0.00992859	0.000123298	0.00200253	0.00788559	0.00373941	0.002402	0.00250965	0.0047206	0.00885262	0.00658814	0.00318954	0.00785424	0.00247911	0.00138335	0.00932879	0.0026647	0.00176863	0.0100981	0.0113115	0.00275998	0.00302738	0.00596241	0.00447485	0.00233666	0.00536571	0.00209846	0.0229798	0.018772	0.00310224	0.00604582	0.0123981	0.0864657	0.000432007	0.00512669	0.0264115	0.0127304	0.0528931	0.0364909	0.000314616	0.000790067	0.0213152	0.0453637	0.0728858	0.0195864	0.0929173	0.0300514	0.000110178	0.000529892	0.00402596	0.0045767	0.0298107	0.0632093	0.0226758	0.00128953	0.00358394	0.0131239	0.00225811	0.0304709	0.0136781	0.00262883	0.00893864	0.000283195	0.00353557	0.014253	0.00266633	0.0285421	0.00254403	0.00655209	1.172422
180	-1194.987	-1321.134	126.1468	0.013602	0.0184989	0.0158575	0.00216132	0.00493436	0.00334263	0.00317844	0.025333	0.00840133	0.0328347	0.00146412	0.0065607	0.000601008	0.000524382	0.0250088	0.00635439	0.00228673	0.00620193	0.00360652	0.00364437	0.0105691	0.00381218	0.00174306	0.00798132	0.00929283	0.0132826	0.00975781	0.0743972	0.0173083	0.0025749	0.00422574	0.00744385	0.000364248	0.000815609	0.00107675	0.0228923	0.00230288	0.00493775	0.00300626	0.00639797	0.0476885	0.0221192	0.0755588	0.012614	0.0130801	0.00180519	0.0148064	0.00682743	0.112257	0.00172347	0.00273397	0.0566055	0.00111413	0.00390941	0.0416454	0.0320631	0.00413773	0.00432775	0.0210199	0.00240418	0.00210908	0.00535925	0.100036	0.0447488	0.0253116	0.0372972	0.00915427	0.00198365	0.231941	0.0019335	0.0940489	0.0110387	0.0614863	0.0186356	0.0400537	0.0139664	0.0809725	0.747426	1.14391	0.248724	0.50733	0.8092	1.23579	1.9711	4.02052	1.006085	0.3722842	0.00825816	0.0112312	0.00962754	0.0013122	0.00299579	0.00202941	0.00192972	0.0153804	0.00510069	0.0199349	0.000888912	0.00398319	0.000364889	0.000318368	0.0151836	0.00385793	0.00138834	0.00376537	0.00218962	0.0022126	0.0064168	0.00231449	0.00105826	0.00484569	0.00564195	0.00806422	0.00592424	0.0451687	0.0105084	0.00156329	0.00256557	0.00451938	0.000221145	0.00049518	0.000653725	0.0138985	0.00139814	0.00299785	0.00182519	0.00388439	0.028953	0.0134292	0.0458739	0.00765832	0.00794128	0.00109599	0.00898941	0.00414513	0.0681547	0.00104637	0.00165987	0.0343668	0.000676421	0.00237351	0.0252841	0.0194664	0.00251213	0.0026275	0.0127618	0.00145965	0.00128049	0.00325376	0.0607346	0.0271683	0.0153674	0.0226442	0.00555782	0.00120433	0.140818	0.00117388	0.0570998	0.00670191	0.0373301	0.0113142	0.0243178	0.0084794	0.0491607	1.647097
216	-1168.225	-1294.427	126.2024	0.00890509	0.0126481	0.013313	0.00241917	0.00150447	0.00296401	0.00181259	0.0292169	0.00168089	0.0342474	0.00345203	0.00230942	0.00347095	0.0205762	0.0236464	0.00272273	0.000415416	0.000746597	0.0129903	0.000210416	0.00979817	0.00920475	0.0182116	0.00233718	0.0231694	0.00922247	0.0043398	0.0214851	0.0198061	0.00144651	0.00888384	0.00425898	0.00100212	0.0107105	0.00703726	0.0475678	0.000157341	0.0172714	0.00973378	0.00507151	0.0382179	0.0238765	0.112221	0.00262495	0.00921748	0.000692045	0.0390928	0.00667828	0.161318	0.00229302	0.00570579	0.0708584	0.00820114	0.0189478	0.0629013	0.0418717	0.000206357	0.00599502	0.0161068	0.00227239	0.00196335	0.0270541	0.0034589	0.0375707	0.0411038	0.0969346	0.00686314	0.00426694	0.214145	0.00738031	0.149433	0.011453	0.0342659	0.0281119	0.0256436	0.0243929	0.0553739	0.628035	1.21193	0.292577	0.549141	0.829442	1.20563	1.82102	3.4179	0.8886705	0.2952589	0.00492353	0.00699297	0.0073606	0.00133753	0.000831807	0.00163877	0.00100216	0.0161537	0.000929344	0.018935	0.00190859	0.00127686	0.00191905	0.0113764	0.0130738	0.00150537	0.000229679	0.000412785	0.0071822	0.000116337	0.0054173	0.00508921	0.010069	0.0012922	0.0128101	0.005099	0.00239943	0.0118789	0.0109506	0.000799759	0.00491178	0.00235474	0.000554061	0.00592174	0.00389082	0.0262997	8.69923e-05	0.00954918	0.0053817	0.00280398	0.0211303	0.0132011	0.0620456	0.00145131	0.00509624	0.000382624	0.021614	0.00369235	0.0891909	0.00126779	0.00315467	0.0391768	0.00453432	0.010476	0.0347774	0.0231504	0.000114092	0.00331458	0.00890525	0.00125638	0.00108552	0.0149579	0.00191239	0.0207724	0.0227258	0.0535941	0.00379456	0.00235914	0.118398	0.00408049	0.0826199	0.00633224	0.0189452	0.0155428	0.014178	0.0134866	0.0306156	1.808681
252	-1182.844	-1309.047	126.2035	0.000303258	0.0263587	0.0198915	0.00481092	0.00112098	0.000731571	0.00178997	0.00723191	0.000205785	0.0235096	0.012103	0.00388207	0.0149841	0.0120662	0.0227369	0.0041349	0.00027091	0.00174825	0.0180659	0.00275513	0.018411	0.00439286	0.0106936	0.0168562	0.0182127	0.00835951	0.020577	0.0155906	0.00058909	0.00472383	0.0130224	0.00241096	0.00075347	0.00292683	0.000679287	0.0177255	0.00242882	0.0164056	0.000800794	0.00501681	0.036153	0.0130446	0.121182	0.0069885	0.0157754	0.00304429	0.0260918	0.014027	0.115302	0.00407599	0.0197833	0.0561382	0.00732963	0.000870967	0.0552317	0.0391842	0.00788981	0.0107872	0.0140159	0.00821958	0.00258312	0.019152	0.0229758	0.0173272	0.0314242	0.0435437	0.0162531	0.00546421	0.168629	0.000766226	0.153322	0.00855752	0.020372	0.0205058	0.0280738	0.0252575	0.0341057	0.774563	1.12845	0.236767	0.495285	0.803157	1.24509	2.01904	4.22356	1.041709	0.3910868	0.000195307	0.0169757	0.0128107	0.00309837	0.000721942	0.000471152	0.00115279	0.00465756	0.000132531	0.0151408	0.0077947	0.00250016	0.00965017	0.007771	0.0146432	0.002663	0.000174473	0.00112592	0.011635	0.00177438	0.0118572	0.00282913	0.006887	0.0108559	0.0117295	0.00538376	0.0132522	0.0100408	0.000379391	0.00304228	0.0083868	0.00155273	0.000485256	0.00188496	0.00043748	0.0114157	0.00156423	0.0105657	0.000515734	0.00323097	0.0232836	0.0084011	0.0780447	0.00450079	0.0101598	0.00196061	0.0168039	0.00903376	0.0742579	0.00262505	0.012741	0.0361546	0.00472049	0.000560928	0.0355708	0.0252358	0.00508126	0.00694729	0.00902664	0.00529364	0.0016636	0.0123344	0.014797	0.0111592	0.0202381	0.0280434	0.0104674	0.00351911	0.108602	0.000493472	0.0987435	0.00551129	0.0131201	0.0132063	0.0180804	0.0162665	0.0219651	1.552726
288	-1186.38	-1312.788	126.4081	0.010039	0.0132028	0.0128799	0.00914003	0.00444302	0.00335533	0.00219766	0.0212196	0.000810595	0.0276691	0.0149282	0.000392901	0.00607705	0.00431093	0.0139271	0.00993825	0.00123379	0.00141239	0.0213745	0.0102532	0.00244847	0.00815048	0.00247337	0.0116651	0.0155854	0.00296997	0.019746	0.0188672	0.00410359	0.00338732	0.0118686	0.00251461	0.00629774	0.00378587	0.00631522	0.0165993	0.00573394	0.00555623	0.00286917	0.00293715	0.0176559	0.0642614	0.0753193	0.0053751	0.00142832	0.00524828	0.0549461	0.026134	0.121396	0.00736848	0.0219372	0.0686601	0.0101181	0.000874169	0.0803307	0.018908	0.00452839	0.0277123	0.00879617	0.00118536	9.85324e-06	0.00845631	0.0141311	0.0420643	0.0372104	0.092401	0.0157185	0.00149446	0.116878	0.00634088	0.0890255	0.00533665	0.0660472	0.020495	0.0321351	0.0130879	0.0937093	0.669937	1.18806	0.29148	0.548136	0.828969	1.20632	1.82436	3.43076	0.8913865	0.321287	0.00619916	0.00815289	0.00795349	0.00564407	0.00274361	0.00207195	0.00135708	0.0131033	0.000500551	0.017086	0.00921831	0.00024262	0.00375264	0.00266204	0.00860014	0.00613698	0.000761877	0.000872168	0.013199	0.00633144	0.00151196	0.00503301	0.00152733	0.00720331	0.00962414	0.00183399	0.0121934	0.0116507	0.00253401	0.00209171	0.00732896	0.0015528	0.00388892	0.00233782	0.00389971	0.0102502	0.00354077	0.00343103	0.00177175	0.00181372	0.0109027	0.0396821	0.0465105	0.00331918	0.000882004	0.00324087	0.0339298	0.016138	0.0749635	0.00455011	0.0135465	0.0423983	0.00624805	0.000539809	0.0496051	0.0116759	0.00279633	0.0171126	0.00543173	0.000731973	6.08448e-06	0.00522186	0.00872612	0.0259752	0.0229778	0.0570586	0.00970631	0.000922845	0.0721735	0.00391556	0.0549742	0.00329544	0.0407849	0.0126559	0.0198438	0.00808189	0.0578665	1.619405
324	-1184	-1309.882	125.8823	0.0045463	0.00119416	0.000528184	0.00123871	0.000632144	0.0003681	0.00116303	0.00156932	0.00477178	0.0162329	0.000433107	0.0015571	0.000846439	0.0027306	0.00984911	0.000499479	0.000166947	0.000567069	0.00293622	0.00186578	0.00131475	0.00178951	0.00135049	0.00168409	0.000701282	5.27521e-05	0.00218049	0.00337334	0.00237582	0.00333132	0.00604091	0.00669315	0.00118344	0.00127032	0.00432327	0.0108085	0.00142022	0.00458224	0.000430624	0.00502587	0.00681816	0.0117335	0.0193864	0.00128592	0.00121946	0.000402057	0.0456033	0.00621098	0.0461695	0.0048033	0.00723932	0.0282484	3.9919e-05	0.000904887	0.014674	0.0148191	0.00204494	0.00379899	0.0108759	0.000230928	0.000179926	0.00386779	0.0101654	0.00784331	0.00782287	0.0176481	0.00182065	0.000616703	0.0436097	0.00149712	0.0159874	0.00465662	0.0123534	0.00448065	0.00956906	0.00821335	0.0173822	1.19255	0.890289	0.0867728	0.303562	0.689399	1.45054	3.29422	11.5243	1.767514	0.7632109	0.00895201	0.0023514	0.00104003	0.00243912	0.00124474	0.000724816	0.0022901	0.00309011	0.009396	0.0319638	0.000852821	0.00306606	0.0016667	0.00537675	0.0193936	0.000983513	0.000328731	0.0011166	0.00578165	0.00367386	0.00258884	0.00352367	0.00265922	0.0033161	0.00138088	0.000103873	0.00429355	0.00664237	0.00467816	0.00655962	0.011895	0.0131793	0.00233029	0.00250136	0.00851284	0.0212828	0.00279652	0.00902279	0.000847932	0.00989632	0.0134255	0.0231041	0.0381733	0.00253207	0.00240121	0.000791681	0.0897965	0.0122299	0.0909114	0.00945806	0.0142548	0.0556234	7.86035e-05	0.00178179	0.0288942	0.02918	0.00402665	0.0074805	0.0214154	0.000454715	0.000354288	0.00761597	0.0200164	0.0154441	0.0154038	0.0347505	0.003585	0.00121434	0.0858709	0.00294794	0.0314804	0.00916924	0.0243248	0.00882275	0.0188422	0.0161727	0.034227	0.5078522
